name,slug,state,region,lat,lng,website_url,cam_page_url,snotel_station_id,is_active,x_url,facebook_url,instagram_url
Monarch Mountain,monarch-mountain,CO,Sawatch Range,38.5203,-106.3306,https://skimonarch.com,https://skimonarch.com/conditions/cams/,701:CO:SNTL,true,https://x.com/MonarchMountain,https://www.facebook.com/MonarchMtn/,https://www.instagram.com/monarchmountain/
Powderhorn Mountain Resort,powderhorn,CO,Grand Mesa,39.0697,-108.0267,https://powderhorn.com,https://powderhorn.com/explore/conditions/webcams.html,622:CO:SNTL,true,https://x.com/skipowderhorn,https://www.facebook.com/SkiPowderhorn/,https://www.instagram.com/skipowderhorn/
Ski Cooper,ski-cooper,CO,Lake County,39.3628,-106.3567,https://skicooper.com,https://www.skicooper.com/weather-webcams/,485:CO:SNTL,true,https://x.com/skicooperco,https://www.facebook.com/skiCooperChicagoRidge/,https://www.instagram.com/skicooper/
Park City Mountain,park-city,UT,Wasatch Range,40.6461,-111.5080,https://www.parkcitymountain.com,https://www.parkcitymountain.com/the-mountain/mountain-conditions/mountain-cams.aspx,814:UT:SNTL,true,https://x.com/PCski,https://www.facebook.com/ParkCityMountain/,https://www.instagram.com/pcski/
Snowbird,snowbird,UT,Little Cottonwood Canyon,40.5830,-111.6553,https://www.snowbird.com,https://www.snowbird.com/the-mountain/webcams/view-all-webcams/,766:UT:SNTL,true,https://x.com/snowbird,https://www.facebook.com/SnowbirdUT/,https://www.instagram.com/snowbird/
Alta Ski Area,alta,UT,Little Cottonwood Canyon,40.5883,-111.6378,https://www.alta.com,https://www.alta.com/weather,1308:UT:SNTL,true,https://x.com/altaskiarea,https://www.facebook.com/altaskiarea,https://www.instagram.com/altaskiarea/
Solitude Mountain Resort,solitude,UT,Big Cottonwood Canyon,40.6197,-111.5917,https://www.solitudemountain.com,https://www.solitudemountain.com/mountain-and-village/webcams,366:UT:SNTL,true,https://x.com/solitudemtn,https://www.facebook.com/SolitudeMTN/,https://www.instagram.com/solitudemountain/
Brighton Resort,brighton,UT,Big Cottonwood Canyon,40.5981,-111.5839,https://www.brightonresort.com,https://www.brightonresort.com/conditions,366:UT:SNTL,true,https://x.com/brightonresort,https://www.facebook.com/brightonresort,https://www.instagram.com/brightonresort/
Deer Valley Resort,deer-valley,UT,Wasatch Range,40.6375,-111.4781,https://www.deervalley.com,https://www.deervalley.com/explore-the-mountain/webcams,814:UT:SNTL,true,https://x.com/Deer_Valley,https://www.facebook.com/SkiDeerValley/,https://www.instagram.com/deervalleyresort/
Mammoth Mountain,mammoth,CA,Eastern Sierra,37.6308,-119.0326,https://www.mammothmountain.com,https://www.mammothmountain.com/on-the-mountain/mammoth-webcam,2191:CA:SCAN,true,https://x.com/MammothMountain,https://www.facebook.com/MammothMountain/,https://www.instagram.com/mammothmountain/
Palisades Tahoe,palisades-tahoe,CA,Lake Tahoe,39.1969,-120.2358,https://www.palisadestahoe.com,https://www.palisadestahoe.com/mountain-information/webcams,784:CA:SNTL,true,https://x.com/palisadestahoe,https://www.facebook.com/palisadestahoe,https://www.instagram.com/palisadestahoe/
Sugar Bowl Resort,sugar-bowl,CA,Lake Tahoe,39.2939,-120.3497,https://www.sugarbowl.com,https://www.sugarbowl.com/webcams,428:CA:SNTL,true,https://x.com/sugarbowlresort,https://www.facebook.com/sugarbowlresort/,https://www.instagram.com/sugarbowlresort/
Northstar California,northstar,CA,Lake Tahoe,39.2744,-120.1208,https://www.northstarcalifornia.com,https://www.northstarcalifornia.com/the-mountain/mountain-conditions/mountain-cams.aspx,834:CA:SNTL,true,https://x.com/northstarmtn,https://www.facebook.com/Northstar/,https://www.instagram.com/northstar_california/
Heavenly Mountain Resort,heavenly,CA,Lake Tahoe,38.9353,-119.9400,https://www.skiheavenly.com,https://www.skiheavenly.com/the-mountain/mountain-conditions/mountain-cams.aspx,518:CA:SNTL,true,https://x.com/skiheavenly,https://www.facebook.com/SkiHeavenly/,https://www.instagram.com/skiheavenly/
Kirkwood Mountain Resort,kirkwood,CA,Lake Tahoe,38.6850,-120.0656,https://www.kirkwood.com,https://www.kirkwood.com/the-mountain/mountain-conditions/mountain-cams.aspx,1067:CA:SNTL,true,https://x.com/kirkwoodmtn,https://www.facebook.com/KirkwoodMtn/,https://www.instagram.com/kirkwoodmtn/
Homewood Mountain Resort,homewood,CA,Lake Tahoe,39.0836,-120.1647,https://skihomewood.com,https://skihomewood.com/webcams/,848:CA:SNTL,true,https://x.com/skihomewood,https://www.facebook.com/HomewoodMountainResort/,https://www.instagram.com/skihomewood/
Sierra-at-Tahoe,sierra-at-tahoe,CA,Lake Tahoe,38.7969,-120.0808,https://www.sierraattahoe.com,https://www.sierraattahoe.com/live-cams/,463:CA:SNTL,true,https://x.com/Sierra_at_Tahoe,https://www.facebook.com/SierraAtTahoe/,https://www.instagram.com/sierra_at_tahoe/
